334534,555515,30
477083,879589,4
854860,1069490,96
334271,417392,3464
867245,997906,1026
713087,1068647,1256
546663,593927,4074
167559,593927,3774
336993,542747,3884
167559,488180,468
630945,1078106,6
384661,468986,2254
160747,203876,1982
874066,978841,4486
907778,1091072,80
713087,853022,734
978841,1069490,1118
867245,978841,7674
116461,164857,2272
245908,260316,510
336993,468986,3668
874066,1091072,1334
336993,488180,474
164857,203973,2356
893830,1050858,36
118670,203973,170
384661,508581,2312
377801,442122,1948
167559,542747,3838
417392,541064,42
336993,541064,58
630945,828970,18
336993,417392,3492
142470,231299,888
336993,442122,1824
855527,885171,12
885171,1078106,12
423117,541064,58
36467,855527,2414
853022,1068647,248
231299,260316,372
384661,423117,2418
713087,944109,5724
934204,1097113,6
417392,423117,3620
377801,541064,58
142145,260316,404
37462,260316,330
1045598,1050858,94
312825,334271,3238
167559,541064,58
907778,1050858,4
407379,593927,3812
1045598,1091072,2334
423117,488180,474
407379,417392,3450
468986,571267,3858
191465,203876,1070
478809,512917,3484
377801,571267,3766
239500,1053494,4
417392,571267,3518
6481,401841,1588
541064,593927,58
786050,855527,40
896065,987025,538
637562,1095409,258
312825,423117,3334
854860,1045598,336
1045598,1069490,1068
377801,542747,3812
1050858,1069490,4
334271,468986,4136
377801,468986,3682
854860,1050858,34
679712,795420,4292
334271,571267,4016
68248,260316,1192
384661,488180,272
167559,384661,2378
334271,488180,464
336993,546663,3790
542747,546663,4090
334271,384661,2340
36467,1078106,6
867245,1050858,70
508581,571267,3830
167559,508581,3720
377801,488180,476
488180,546663,474
407379,468986,3740
508581,546663,3842
690698,879589,4
542747,593927,4116
920400,978841,120
384661,442122,1268
367822,460537,4278
167559,468986,3622
932298,1068647,1174
907778,1045598,110
336993,423117,3872
312825,508581,3336
165075,828970,8
423117,442122,1990
407379,442122,1900
377801,417392,3308
853022,1097113,8
460537,555515,18
477083,690698,4
508581,541064,54
907778,978841,122
312825,488180,342
488180,508581,486
855527,1078106,6
417392,508581,3448
541064,546663,58
312825,442122,1738
377801,423117,3746
874066,1050858,100
334271,377801,3812
508581,593927,3754
442122,571267,2038
377801,546663,3818
423117,468986,3966
407379,541064,58
116461,203973,1890
1069490,1091072,454
377801,508581,3682
867245,1045598,6312
874066,1069490,758
468986,541064,58
167559,377801,3700
87855,401841,2092
944109,1068647,1116
334271,593927,4010
334271,423117,4018
312825,377801,3090
167559,407379,3754
36467,828970,4
417392,542747,3510
468986,546663,3914
334271,541064,58
116461,220985,1050
468986,488180,478
730941,811871,5004
67769,160747,1154
336993,384661,2318
853022,944109,1220
423117,571267,4126
6481,87855,1834
167559,571267,3740
36467,786050,40
853022,932298,930
36467,885171,12
167559,442122,1800
67769,191465,750
377801,407379,3666
407379,546663,3818
161241,260316,500
541064,542747,58
920400,997906,66
854860,920400,4
874066,1045598,3936
423117,542747,4064
116461,118670,642
312825,546663,3360
978841,1091072,2258
854860,978841,502
377801,384661,2270
407379,542747,3850
142145,245908,1380
874066,907778,106
334534,460537,2620
932298,944109,6530
1017231,1093612,110
384661,571267,2422
423117,546663,4140
312825,468986,3066
978841,1050858,94
541064,571267,56
384661,407379,2400
997906,1045598,1070
423117,593927,4052
874066,920400,210
468986,593927,3842
468986,542747,3858
367822,555515,38
417392,468986,3514
167559,417392,3428
786050,1029788,26
312825,407379,3094
407379,571267,3834
336993,571267,3784
542747,571267,4082
203973,220985,1266
167559,546663,3744
997906,1069490,86
997906,1091072,388
1050858,1091072,36
442122,546663,2056
312825,593927,3268
907778,1069490,38
571267,593927,4080
488180,542747,474
384661,546663,2488
384661,417392,2162
377801,593927,3794
336993,407379,3724
417392,488180,428
118670,164857,880
423117,508581,3830
1029788,1078106,12
608775,997906,1450
488180,541064,22
477083,1061168,672
854860,1091072,116
874066,997906,414
968057,1061168,3256
164857,220985,1274
312825,571267,3332
488180,571267,474
167559,423117,3828
36467,1029788,26
312825,384661,2020
854860,997906,38
867245,874066,5346
867245,1069490,1316
384661,542747,2494
978841,997906,1380
855527,1022643,16
468986,508581,3562
160747,191465,1104
334271,407379,3716
442122,468986,1966
312825,541064,76
142145,161241,1050
879589,968057,4
37462,142470,662
546663,571267,4138
334271,336993,3730
334271,508581,3720
508581,542747,3766
83045,104724,1324
854860,867245,484
873960,1078106,632
824097,1029788,22
828970,1078106,24
442122,542747,2008
690698,968057,4
407379,488180,486
417392,593927,3498
442122,488180,244
167559,334271,3684
442122,541064,40
978841,1045598,5944
336993,593927,3818
662257,749071,2280
853022,934204,8
855527,1029788,26
384661,541064,22
442122,593927,2004
336993,377801,3570
867245,907778,126
312825,542747,3284
407379,508581,3576
384661,593927,2430
488180,593927,474
854860,874066,382
334271,546663,4044
920400,1069490,60
608775,934204,4
867245,920400,220
37462,231299,1218
336993,508581,3578
161241,245908,1282
442122,508581,1960
312825,417392,2826
477083,968057,3046
920400,1091072,20
334271,442122,1944
934204,951083,554
417392,546663,3534
713087,932298,5384
407379,423117,3856
867245,1091072,2386
334271,542747,4030
920400,1045598,12
334534,367822,3544
167559,312825,3110
312825,336993,3076
167559,336993,3646
67769,203876,962
417392,442122,1794
